,playlist,name,artist,albumreleasedate,genres,energy,danceability,loudness,speechiness,acousticness,liveness,trackpopularity
756,Despecho,Qué de Raro Tiene,Vicente Fernández,1992,mariachi,0.356,0.6,-7.725,0.0586,0.426,0.379,69
757,Despecho,De Qué Manera Te Olvido,Vicente Fernández,1978,mariachi,0.451,0.496,-5.563,0.0278,0.82,0.0597,66
758,Despecho,Sublime Mujer,Vicente Fernández,1998-05-26,mariachi,0.291,0.635,-8.099,0.0506,0.89,0.0984,64
759,Despecho,Aunque Mal Paguen Ellas,Vicente Fernández,1992-11-27,mariachi,0.215,0.484,-12.931,0.0373,0.505,0.143,40
760,Despecho,Lástima Que Seas Ajena,Vicente Fernández,1993,mariachi,0.336,0.478,-8.84,0.0371,0.592,0.146,67
761,Despecho,Nos Estorbo la Ropa,Vicente Fernández,1997-07-02,mariachi,0.338,0.52,-8.121,0.0928,0.74,0.0318,60
762,Despecho,Sombras - Sombras Nada Más,Vicente Fernández,2014-04-29,mariachi,0.462,0.544,-6.464,0.0337,0.186,0.397,38
763,Despecho,Entre el Amor y Yo,Vicente Fernández,1998-05-26,mariachi,0.285,0.477,-8.912,0.0506,0.533,0.112,49
764,Despecho,A Punta De Licor,Darío Gómez,2015-05-16,classic colombian pop,0.653,0.827,-3.76,0.0423,0.72,0.34,0
765,Despecho,Por Culpa del Licor,Jhon Alex Castaño,2013,musica popular colombiana,0.71,0.784,-4.47,0.0338,0.738,0.0162,0
766,Despecho,La Aventura,Jhon Alex Castaño,2013,musica popular colombiana,0.704,0.813,-4.137,0.0367,0.562,0.299,0
767,Despecho,Viviré Sin Ti,Jhon Alex Castaño,2015-05-30,musica popular colombiana,0.558,0.673,-4.694,0.0338,0.339,0.0985,0
768,Despecho,Quererte Fue Un Error,El Charrito Negro,2005-01-01,musica popular colombiana,0.516,0.765,-5.55,0.0392,0.504,0.202,0
769,Despecho,Con La Tierra Encima,El Charrito Negro,2014-01-01,musica popular colombiana,0.626,0.897,-5.488,0.0454,0.582,0.0634,0
770,Despecho,Ojalá y Te Dure,El Charrito Negro,2015-06-16,musica popular colombiana,0.439,0.652,-4.802,0.121,0.774,0.0559,44
771,Despecho,Vagabundo Borracho y Loco,Segundo Rosero,2017-05-16,cumbia ecuatoriana,0.605,0.815,-6.137,0.03,0.477,0.268,0
772,Despecho,Como Voy a Olvidarte,Segundo Rosero,2013,cumbia ecuatoriana,0.391,0.666,-9.809,0.0336,0.915,0.191,0
773,Despecho,Melancolía,Segundo Rosero,2015-07-17,cumbia ecuatoriana,0.54,0.682,-6.868,0.0299,0.804,0.109,42
774,Despecho,Me Tomas y Me Dejas,Luis Alberto Posada,2001,classic colombian pop,0.458,0.638,-3.233,0.0448,0.896,0.125,0
775,Despecho,Sin Rencor,Luis Alberto Posada,2020-02-08,classic colombian pop,0.432,0.705,-5.985,0.0408,0.574,0.26,0
776,Despecho,Acá Entre Nos,Vicente Fernández,1992,mariachi,0.334,0.41,-6.662,0.0621,0.529,0.137,74
777,Despecho,Se Me Olvidó Otra Vez,Juan Gabriel,1986,cancion melodica,0.0862,0.547,-20.132,0.0482,0.799,0.148,68
778,Despecho,Entre Comillas,Darío Gómez,2014-08-08,classic colombian pop,0.478,0.676,-5.855,0.0285,0.841,0.14,0
779,Despecho,Sobreviviré,Darío Gómez,2014-08-08,classic colombian pop,0.426,0.725,-3.797,0.0368,0.791,0.063,0
780,Despecho,Para Siempre,Vicente Fernández,2007-08-26,mariachi,0.283,0.728,-11.252,0.0323,0.818,0.0905,68
781,Despecho,La Farsante,Juan Gabriel,1981,cancion melodica,0.286,0.512,-11.757,0.0664,0.7,0.0615,68
782,Despecho,Te Lo Pido por Favor,Juan Gabriel,1986-01-12,cancion melodica,0.404,0.64,-7.672,0.0248,0.649,0.263,0
783,Despecho,Que Te Vaya Bonito,Vicente Fernández,1972,mariachi,0.46,0.55,-6.244,0.0448,0.568,0.086,66
784,Despecho,Ya No Mi Amor,Yeison Jimenez,2017,colombian pop,0.321,0.6,-11.197,0.0682,0.392,0.0871,0
785,Despecho,Vuelve Y Me Pasa,Yeison Jimenez,2015,colombian pop,0.417,0.808,-11.117,0.0496,0.491,0.123,0
786,Despecho,Te Voy a Olvidar,Yeison Jimenez,2015,colombian pop,0.617,0.806,-11.578,0.0662,0.411,0.0444,0
787,Despecho,Hasta Que Te Conocí,Juan Gabriel,1986-01-12,cancion melodica,0.306,0.329,-10.25,0.0327,0.739,0.0679,1
788,Despecho,Por Mujeres Como Tu,Pepe Aguilar,2004-02-20,latin talent show,0.291,0.568,-7.73,0.0268,0.857,0.159,0
789,Despecho,Ingrata,Pipe Bueno,2017-01-19,colombian pop,0.48,0.888,-4.684,0.0376,0.77,0.241,0
790,Despecho,Como Tu Decidas,Joan Sebastian,2015-02-24,banda,0.503,0.432,-5.715,0.045,0.394,0.365,0
791,Despecho,Sin Sentimientos,Jhon Alex Castaño,2016-10-24,musica popular colombiana,0.506,0.706,-4.236,0.0473,0.66,0.312,43
792,Despecho,Corazón Tu La Elegiste,El Charrito Negro,2015-12-01,musica popular colombiana,0.566,0.856,-7.432,0.0357,0.178,0.112,0
793,Despecho,Ofendido,Jhon Alex Castaño,2016-10-24,musica popular colombiana,0.571,0.853,-3.53,0.0434,0.343,0.135,35
794,Despecho,Perdón (with Alejandro Fernández),Vicente Fernández,2011-08-16,mariachi,0.48,0.315,-5.532,0.0357,0.834,0.673,46
795,Despecho,Maldita Traga,Yeison Jimenez,2019-04-15,colombian pop,0.57,0.742,-4.302,0.0376,0.54,0.205,0
796,Despecho,La Diferencia,Vicente Fernández,1980,mariachi,0.277,0.409,-10.276,0.0421,0.63,0.173,71
797,Despecho,Adiós Amor,Christian Nodal,2017-08-25,mariachi,0.431,0.433,-6.422,0.0367,0.169,0.307,79
798,Despecho,Le Hace Falta un Beso,Los Bacanes del Sur,2015-07-16,musica popular colombiana,0.559,0.772,-3.42,0.0389,0.562,0.0248,58
799,Despecho,Dulce Pecado,Jessi Uribe,2019-04-26,colombian pop,0.508,0.641,-3.587,0.0522,0.614,0.128,0
800,Despecho,Matemos las Ganas,Jessi Uribe,2016-09-21,colombian pop,0.561,0.898,-3.71,0.044,0.476,0.0434,65
801,Despecho,Repítela,Jessi Uribe,2015-08-11,colombian pop,0.532,0.584,-3.903,0.04,0.0954,0.1,57
802,Despecho,Ya Me Cansé,Alzate,2015-11-10,colombian pop,0.734,0.876,-2.216,0.032,0.354,0.0692,49
803,Despecho,Me Dedico a Beber,Alzate,2015-11-10,colombian pop,0.517,0.804,-4.664,0.0396,0.48,0.216,47
804,Despecho,El Último No,Jessi Uribe,2017-10-12,colombian pop,0.516,0.672,-2.746,0.0462,0.536,0.0497,0
805,Despecho,Ahora Que Puedo,Fernando Burbano,2016-12-02,musica popular colombiana,0.5,0.817,-6.92,0.0456,0.774,0.033,49
806,Despecho,Por Tu Amor,Alzate,2018-05-15,colombian pop,0.557,0.671,-4.867,0.0361,0.395,0.276,0
807,Despecho,Te Fallé,Christian Nodal,2017-08-25,mariachi,0.453,0.568,-5.061,0.0284,0.317,0.121,69
808,Despecho,No Te Contaron Mal,Christian Nodal,2018-09-07,mariachi,0.57,0.617,-3.074,0.0374,0.388,0.143,72
809,Despecho,OK,Jessi Uribe,2018-08-10,colombian pop,0.483,0.719,-5.668,0.0732,0.502,0.105,0
810,Despecho,Déjala Que Se Vaya,Jhon Alex Castaño,2015-05-17,musica popular colombiana,0.486,0.864,-8.915,0.0513,0.426,0.0326,0
811,Despecho,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,2018-01-05,banda,0.434,0.69,-4.455,0.033,0.385,0.104,0
812,Despecho,Maldita Traicion,Alzate,2015-11-10,colombian pop,0.635,0.737,-4.389,0.0334,0.39,0.175,56
813,Despecho,Qué Día Es Hoy,Yeison Jimenez,2015,colombian pop,0.268,0.878,-12.944,0.0675,0.197,0.187,0
814,Despecho,Pero Te Vas A Arrepentir,El Charrito Negro,2009-01-01,musica popular colombiana,0.537,0.651,-3.635,0.0289,0.566,0.241,0
815,Despecho,La Tirana,Darío Gómez,2014-08-20,classic colombian pop,0.426,0.459,-4.857,0.0477,0.546,0.0702,0
816,Despecho,Ni Que Fueras la Mas Buena,Alzate,2015-11-10,colombian pop,0.822,0.908,-2.486,0.0293,0.286,0.0757,49
817,Despecho,Aventurero,Yeison Jimenez,2019-04-15,colombian pop,0.63,0.851,-4.366,0.0325,0.51,0.127,0
818,Despecho,Cuestión Olvidada,El Charrito Negro,2015-01-01,musica popular colombiana,0.419,0.725,-4.915,0.0339,0.422,0.374,0
819,Despecho,El Desquite,Alzate,2015-11-10,colombian pop,0.684,0.868,-3.96,0.0319,0.635,0.059,40
820,Despecho,Que Te Lo Crea Tu Madre,Espinoza Paz,2018-03-01,banda,0.459,0.555,-6.535,0.0367,0.593,0.062,63
